ITEM NAME,GENERIC NAME,SKU,BARCODE,CATEGORY,MANUFACTURER,PROFILE NAME,BRAND,BRAND SECTOR,UNIT NAME,UNIT SYMBOL,WEIGHT,UNITS PER PACK,REORDER,UNIT COST,UNIT RETAIL,PACK COST,PACK RETAIL,TAX NAME,TAX VALUE,NOTE
Panadol,acyclovir capsule,PN098,10000001,ARV,GSK,Drug,Amoxyl,Clonazepam,Gram,Gm,50,12,200000,400,500,80000,15000,VAT,16,
USN Blue Lab Whey Protein Chocolate 454g,amoxicillin,TB9809,20000002,TB,GSK,Drug,Exforge HCT,Clonazepam,Litre,Ltr,100,12,500000,250,400,7000,15000,,,
Amoxicillin 250mg Capsules 10,amoxicillin,OTH098,30000003,OTHER,GSK,Drug,Exforge HCT,Acetaminophene,Gram,Gm,100,24,1000000,2500,3000,80000,15000,,,
USN Blue Lab Whey Protein Chocolate 500g,alendronate tablet,CODE1,987654321,SYRUP,Acichem Laboratories,Drug,"Amoxil, Moxatag",Clonazepam,Mililitre,Ml,250,100,600000,400,800,7000,15000,VAT,16,
Panadol,amoxicillin,CODE2,11111111,TABLET,Acichem Laboratories,Drug,"Amoxil, Moxatag",Clonazepam,Gram,Gm,500,50,700000,1000,1500,7000,15000,,,
USN Blue Lab Whey Protein Chocolate,acyclovir capsule,CODE3,2222222,TABLET,Acichem Laboratories,Drug,Norvasc,Clonazepam,Gram,Gm,500,100,500000,250,500,7000,15000,VAT,16,
Panadol,amoxicillin,CODE4,3333333,TABLET,Jaskam & Company Ltd,Equipment,Hexalen capsules,Clonazepam,Kilogram,KG,1,12,500000,8000,8500,80000,15000,,,
USN Blue Lab Whey Protein Chocolate,amoxicillin,CODE5,4444444,SYRUP,Jaskam & Company Ltd,Equipment,Norvasc,Clonazepam,Piece,Pcs,250,20,700000,400,700,7000,15000,VAT,16,
USN Blue Lab Whey Protein Chocolate,alendronate tablet,CODE6,5555555,SYRUP,Jaskam & Company Ltd,Equipment,Hexalen capsules,Clonazepam,Mililitre,Ml,500,12,6000000,10000,15000,7000,15000,,,
Panadol,amoxicillin,CODE7,666666,SYRUP,Jaskam & Company Ltd,Equipment,"Amoxil, Moxatag",Clonazepam,Mililitre,Ml,500,12,1000000,250,400,7000,15000,,,
USN Blue Lab Whey Protein Chocolate,acyclovir tablet,CODE8,7777777,SYRUP,GSK,Equipment,Hexalen capsules,Acetaminophene,Kilogram,Kg,250,15,1000000,1000,1500,80000,15000,VAT,16,
USN Blue Lab Whey Protein Chocolate 500g,amoxicillin,CODE9,8888888,TB,GSK,Equipment,"Amoxil, Moxatag",Clonazepam,Cartoon,Ctn,500,16,5000000,250,350,7000,15000,,,
USN Blue Lab Whey Protein Chocolate,amoxicillin,CODE10,9999999,TB,GSK,Equipment,Hexalen capsules,Clonazepam,Mililitre,Ml,1000,30,1000000,5000,6000,7000,15000,,,
USN Blue Lab Whey Protein Chocolate,alendronate tablet,CODE11,10101010,SYRUP,GSK,Supplies,Cordarone,Clonazepam,Kilogram,Kg,300,50,7000000,250,600,7000,15000,VAT,16,
Panadol,amoxicillin,CODE12,11011011,SYRUP,GSK,Supplies,"Amoxil, Moxatag",Acetaminophene,Kilogram,Kg,500,60,1000000,400,500,80000,15000,,,
USN Blue Lab Whey Protein Chocolate,amoxicillin,CODE13,12012012012,SYRUP,GSK,Supplies,Hexalen capsules,Clonazepam,Cartoon,Ctn,500,70,2000000,2500,4000,6000,15000,,,
USN Blue Lab Whey Protein Chocolate,acyclovir capsule,CODE14,13013013013,SYRUP,Jaskam & Company Ltd,Supplies,Cordarone,Clonazepam,Mililitre,Ml,100,50,4000000,250,500,80000,15000,VAT,16,
Panadol,amoxicillin,CODE15,14014014014,SYRUP,Jaskam & Company Ltd,Supplies,Cordarone,Clonazepam,Mililitre,Ml,100,10,1000000,250,500,6000,15000,VAT,16,
USN Blue Lab Whey Protein Chocolate 500g,amoxicillin,CODE16,15015015015,SYRUP,GSK,Supplies,Hexalen capsules,Acetaminophene,Piece,Pcs,100,12,1000000,700,1000,6000,15000,,,
USN Blue Lab Whey Protein Chocolate,alendronate tablet,CODE17,16016016016,SYRUP,GSK,Supplies,"Amoxil, Moxatag",Clonazepam,Gram,Gm,500,12,1000000,400,600,80000,15000,VAT,16,
