Item Code,Item Name,Profile Name,Item Type,UNIT WEIGHT,U.O.M (NAME),U.O.M (SYMBOL),BRAND,BRAND SECTOR,MANUFACTURER,Category,Sub-Category,Generic Name,Formulation,Route,Instructions,Packing Quantity,Preferred Supplier,Order Category,UNIT PURCHASE PRICE,UNIT SALE PRICE,PACK PURCHASE PRICE,PACK SALE PRICE,STATUS,REORDER POINT,UNIT LOCATION
10,TRAMAL 100MG INJECTION,DRUGS,Injection,100,Miligram,Mg,TRAMAL 100MG INJECTION,TRAMAL 100MG INJECTION,NJIMIA PHARMACEUTICALS,Anti-Inflammatory/Analgesic,Analgesic,tramadol hydrochloride,Injection,IM,,5,NJIMIA PHARMACEUTICALS,Drugs,162.2,300,162.2,162.2,Active,,
14,PYLOTRIP,DRUGS,Tablets/capsules,0,Not Applicable,N/a,PYLOTRIP,PYLOTRIP,NJIMIA PHARMACEUTICALS,H/Pylori Eliminator Agent,Accesories,Amoxicillin 1000Mg+Clarithromycin 500Mg+Esomeprazole 20Mg,CAPSULES,PO,,1,,Drugs,803,1500,803,803,Inactive,,
18,Augmentin 1 gm tabs,DRUGS,Tablets/capsules,0,Mg,Mg,Augmentin 1 gm tabs,Augmentin 1 gm tabs,GLAXOSMITHKLINE,Antibiotic,Antibacterial,Amoxicillin 875Mg+Clavullanic Acid 125Mg,Tablets,PO,,1,GLAXOSMITHKLINE,Drugs,149.5,235,149.5,149.5,Active,,
22,coartem 80/480mg,DRUGS,Tablets/capsules,0,Mg,Mg,coartem 80/480mg,coartem 80/480mg,SANOFI PASTEUR,Antimalaria,Antimalarials,Artemether Lumefanrine,Tablets,PO,,6,SANOFI PASTEUR,Drugs,82.5,170,82.5,82.5,Active,,
00048B,Albican B Cream,DRUGS,Ointment/cream,0,N/a,N/a,Albican B Cream,Albican B Cream,SANOFI PASTEUR,Anti-Fungal/Steroidal Cream,Accesories,Clotrimazole 1%+Beclomethasone 0.025% Cream,,,,1,,Drugs,149.5,300,149.5,149.5,Active,,
55,Olfen 100 mgs Recto-caps,DRUGS,Tablets/capsules,0,Mg,Mg,Olfen 100 mgs Recto-caps,Olfen 100 mgs Recto-caps,SANOFI PASTEUR,Anti-Inflammatory,Analgesic,Diclofenac Sodium,Tablets,PR,,1,SANOFI PASTEUR,Drugs,74.2,110,74.2,74.2,Active,,
79,EPANUTIN 100MG,DRUGS,Tablets/capsules,0,Mg,Mg,EPANUTIN 100MG,EPANUTIN 100MG,GLAXOSMITHKLINE,N/A,Non - Specific,PHENYTOIN SODIUM,CAPSULES,PO,,84,GLAXOSMITHKLINE,Drugs,9.2,20,9.2,9.2,Active,,
128,ORS DTS-Z combi pack,DRUGS,Solution,0,N/a,N/a,ORS DTS-Z combi pack,ORS DTS-Z combi pack,GLAXOSMITHKLINE,Rehydration Salt,Accesories,Sodium 75+Glucose 75+Chloride 65+Potassium 20,Suspension,PO,,1,,Drugs,36,200,36,36,Active,,
131,Septrin suspension,DRUGS,Suspension,0,Ml,Ml,Septrin suspension,Septrin suspension,GLAXOSMITHKLINE,Antibiotic,Antibacterial,Sulphamethoxazole 200Mg+Trimethoprim 40Mg,Suspension,PO,,1,GLAXOSMITHKLINE,Drugs,345,640,345,345,Active,,
587,Sodium Cyanide,PATHOLOGY,OTHERS,0,Pieces,Pieces,Sodium Cyanide,Sodium Cyanide,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
643,"Jar glass, 250ml",PATHOLOGY,OTHERS,0,Pieces,Pieces,"Jar glass, 250ml","Jar glass, 250ml",NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,131,0,131,131,Active,,
676,"Reagent containers plastic, wide mouth 500ml",PATHOLOGY,OTHERS,0,Pieces,Pieces,"Reagent containers plastic, wide mouth 500ml","Reagent containers plastic, wide mouth 500ml",GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,17,0,17,17,Active,,
756,HDL Cholesterol,PATHOLOGY,OTHERS,0,Pieces,Pieces,HDL Cholesterol,HDL Cholesterol,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
757,Triglycerides,PATHOLOGY,OTHERS,0,Pieces,Pieces,Triglycerides,Triglycerides,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7AS001A,Anti A Blood Group Antisera,PATHOLOGY,OTHERS,0,Pieces,Pieces,Anti A Blood Group Antisera,Anti A Blood Group Antisera,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,312,0,312,312,Active,,
